date,team_a,team_b,bookmaker_odd_1,value_odd_1,bookmaker_odd_x,value_odd_x,bookmaker_odd_2,value_odd_2,ratio
20/04 15:00,sparta prague,banik ostrava,unibet,1.25,zebet,5.0,zebet,7.25,1.1379310344827587
21/04 15:00,slavia prague,sk sigma olomouc,unibet,1.12,zebet,6.75,zebet,11.5,1.1279618127444213
20/04 15:00,fk baumit jablonec,fc fastav zlin,unibet,1.61,zebet,3.6,unibet,3.9,1.1553060466103944
20/04 13:30,fc barcelone,chelsea lfc,unibet,1.2,zebet,5.9,zebet,10.0,1.1028248587570624
20/04 19:00,lyon,paris sg,unibet,1.5,zebet,3.95,unibet,4.75,1.1303575394181655
20/04 16:00,maccabi tel aviv,hapoel haifa,unibet,1.28,zebet,4.9,zebet,7.0,1.128188775510204
19/04 14:00,hangzhou greentown fc,tianjin teda,unibet,2.31,unibet,3.28,unibet,2.49,1.1393849073837319
20/04 14:00,nantong zhiyun,shanghai shenhua,unibet,6.1,zebet,4.4,unibet,1.34,1.1374758102186533
20/04 13:35,wuhan shangwen,changchun yatai,unibet,1.79,zebet,3.55,unibet,3.25,1.148041666414473
21/04 17:00,red bull salzbourg,sk austria klagenfurt,unibet,1.19,zebet,5.5,zebet,9.25,1.1302624243800714
19/04 19:30,sturm graz,rapid vienne,unibet,1.7,zebet,3.6,unibet,3.7,1.136283342165695
20/04 18:15,westerlo,standard de li\xc3\xa8ge,zebet,2.45,zebet,3.25,zebet,2.37,1.1377965012684723
21/04 16:00,fc copenhague,silkeborg,unibet,1.28,zebet,4.7,zebet,7.0,1.1368731003039514
19/04 19:00,randers fc,odense,unibet,1.72,zebet,3.35,unibet,3.82,1.1416829162358184
19/04 20:30,rakow czestochowa,gornik zabrze,unibet,1.48,zebet,3.75,zebet,5.1,1.1384207737148913
19/04 18:00,korona kielce,radomiak radom,unibet,2.2,zebet,2.92,zebet,2.8,1.1541540651129691
20/04 16:15,spezia,sampdoria,unibet,2.18,zebet,2.95,zebet,2.72,1.1653457060012622
19/04 20:30,palerme,parme fc,unibet,2.52,zebet,3.3,unibet,2.19,1.15647670442191
20/04 14:00,brescia,ternana calcio,unibet,1.89,zebet,3.25,zebet,3.1,1.1593734819541273
20/04 07:00,consadole sapporo,sanfrecce hiroshima,unibet,4.0,zebet,3.55,unibet,1.65,1.1377507469056765
20/04 05:00,atletico san luis,deportivo toluca,unibet,3.2,zebet,3.45,unibet,1.81,1.1548412603090719
21/04 01:30,inter miami cf,nashville sc,unibet,1.35,zebet,4.4,zebet,5.8,1.1404272611169164
20/04 16:15,cf villarreal b,ferrol,unibet,2.18,unibet,3.05,unibet,2.82,1.141194377867306
21/04 14:00,espanyol barcelone,fc andorra,unibet,1.55,zebet,3.35,unibet,4.45,1.1683878541327433
19/04 20:45,bohemians dublin,drogheda united,unibet,2.02,unibet,3.05,unibet,2.98,1.1584888272081693
19/04 20:45,st patricks,waterford united,unibet,2.02,unibet,3.08,unibet,2.95,1.1587078804732773
19/04 20:45,sligo rovers,dundalk,unibet,1.94,unibet,3.15,unibet,3.08,1.1575995596614153
20/04 00:00,sol de america,sportivo luqueno,unibet,2.33,zebet,3.1,unibet,2.48,1.1549910009691264
19/04 18:00,othellos athienou,ethnikos achnas,unibet,2.8,unibet,3.4,unibet,1.97,1.1588747173996503
20/04 16:00,coleraine fc,crusaders,unibet,2.78,unibet,3.48,unibet,1.99,1.149581114868978
20/04 18:00,servette fc,grasshopper z\xc3\xbcrich,zebet,1.39,zebet,4.2,zebet,5.2,1.149827390834585
25/05 20:00,kaiserslautern,bayer leverkusen,zebet,13.5,zebet,7.5,unibet,1.11,1.1083083083083083
20/04 09:30,fc seoul,jeonbuk hyundai motors,unibet,2.5,zebet,3.05,zebet,2.42,1.1410919929548842
20/04 19:00,maccabi haifa,hapoel beer sheva,unibet,2.38,unibet,3.25,unibet,3.75,0.9945270415858651
